"","ts_value_id","ts_id","datetime","req_timestamp","ts_value","station_latitude","station_longitude","stationparameter_name","station_name","station_no","dataprovider","dataowner","significant","Portal_Bekken","Actuele.status"
"266",270,"0488365010"," 4 januari 2024 07:10",NA,1,51.0082606719556,3.75112619633171,"W","Merelbeke Afwaarts DVW tij/Zeeschelde","04OW006-AFW-1073","MOW-HIC","DVW-ARW","0","Beneden-Scheldebekken","Pre-Waak"
"267",282,"0488307010"," 4 januari 2024 07:00",NA,1,51.0708621988632,2.66826431065749,"H","Veurne Afwaarts/Kl Nieuwpoort-Duinkerke","04kdn03a-1066","MOW-HIC","HIC","1","Ijzerbekken","Pre-Waak"
"268",289,"0488259010"," 4 januari 2024 07:15",NA,1,50.911470145465,3.41375531602516,"H","Sint-Baafs-Vijve Afwaarts DVW/Leie","04WW006-AFW-1073","MOW-HIC","DVW-ARW","0","Leiebekken","Pre-Waak"
"269",294,"0488171010"," 4 januari 2024 07:00",NA,1,51.1332743804574,2.75703463011376,"H","Nieuwpoort/Kl Nieuwpoort-Duinkerke","04kdn02a-1066","MOW-HIC","HIC","0","Ijzerbekken","Pre-Waak"
"270",295,"0493633010"," 4 januari 2024 07:10",NA,1,51.00640264914,5.76598473411517,"H","Meeswijk Veer rkm 39.0/Maas","04maa05a-1066","MOW-HIC","HIC","0","Maasbekken","Pre-Waak"
"271",312,"0493634010"," 4 januari 2024 07:10",NA,1,51.0300480452487,5.75972172954305,"H","Negenoord rkm 42.5/Maas","04maa04a-1066","MOW-HIC","HIC","0","Maasbekken","Pre-Waak"
"272",314,"0488331010"," 4 januari 2024 07:00",NA,1,51.0025986121973,4.99157972958855,"H","Zichem/Demer","04dem04a-1066","MOW-HIC","HIC","1","Demerbekken","Pre-Waak"
"273",328,"0488183010"," 4 januari 2024 07:15",NA,1,51.1051858897743,2.70004917542254,"H","Oostduinkerke-Wulpen DVW/Kl Nieuwpoort-Duinkerke","04WA004-1073","MOW-HIC","DVW-ARW","0","Ijzerbekken","Pre-Waak"
"274",333,"0493632010"," 4 januari 2024 07:10",NA,1,51.0949023304731,5.80144022412333,"H","Maaseik rkm 52.8/Maas","04maa02a-1066","MOW-HIC","HIC","0","Maasbekken","Pre-Waak"
"275",349,"0488119010"," 4 januari 2024 07:00",NA,1,51.1488903498375,3.82494273744414,"H","Mendonk/Moervaart","04moe02a-1066","MOW-HIC","HIC","1","Bekken Gentse kanalen","Pre-Waak"
"276",353,"0488143010"," 4 januari 2024 07:15",NA,1,51.0096020719303,3.74637779158677,"H","Merelbeke Opwaarts DVW/Ringvaart","04OW006-OPW-1073","MOW-HIC","DVW-ARW","0","Beneden-Scheldebekken","Pre-Waak"
"277",385,"0488015010"," 4 januari 2024 07:10",NA,1,51.0618504955415,4.78778097430423,"H","Hulshout/Grote Nete","04gnt05a-1066","MOW-HIC","HIC","0","Netebekken","Pre-Waak"
"278",394,"04115043010"," 4 januari 2024 07:00",NA,1,50.9922770639839,4.86974289165077,"H","Langdorp/Demer","04dem02r-1066","MOW-HIC","HIC","0","Demerbekken","Pre-Waak"
"279",403,"04123847010"," 4 januari 2024 07:15",NA,1,51.0123795288416,3.7395578965078,"H","Gent Keersluis E3 DVW/Ringvaart","04OW018-OPW-1073","MOW-HIC","DVW-ARW","0","Bekken Gentse kanalen","Pre-Waak"
"280",421,"04110686010"," 4 januari 2024 07:10",NA,1,50.9291969136869,5.73094865917748,"H","Uikhoven rkm 25.3/Maas","04maa06x-1066","MOW-HIC","HIC","0","Maasbekken","Pre-Waak"
"281",435,"0487863010"," 4 januari 2024 07:00",NA,1,51.2205853491119,3.23543773788114,"H","Brugge Opwaarts/Zuidervaart","04lek13e-1066","MOW-HIC","HIC","0","Bekken Brugse polders","Pre-Waak"
"282",1,"04119931010"," 4 januari 2024 07:15",NA,2,51.0888611539389,3.66793352691131,"H","Evergem Sluis Opwaarts DVW/Ringvaart","04OW023-SL-OPW-1073","MOW-HIC","DVW-ARW","0","Bekken Gentse kanalen","Waak"
"283",7,"0193652042"," 4 januari 2024 07:02",NA,2,51.3276668598462,3.23826941308934,"H","Heist/Isabellavaart","01L02_455","VMM","VMM","1","Bekken Brugse polders","Waak"
"284",11,"0193056042"," 4 januari 2024 07:02",NA,2,50.8632192243773,5.10694928507997,"H","Budingen/Gete","01L09_153","VMM","VMM","1","Demerbekken","Waak"
"285",15,"01303300042"," 4 januari 2024 07:00",NA,2,50.9855693760846,4.4913586067665,"H","Weerde/Barebeek/Vriezenbroek","01L08_11W","VMM","VMM","","Dijlebekken","Waak"
"286",22,"01196397042"," 4 januari 2024 07:02",NA,2,50.8726683448545,5.14170838811378,"H","Rummen/Melsterbeek/Lutzestraat","01L09_15K","VMM","VMM","1","Demerbekken","Waak"
"287",24,"0193640042"," 4 januari 2024 07:02",NA,2,51.2043430849029,3.43957314555544,"H","Maldegem/Ede","01L02_442","VMM","VMM","0","Bekken Brugse polders","Waak"
"288",30,"01200179042"," 4 januari 2024 07:02",NA,2,50.998289571452,4.30232652526809,"H","Londerzeel/Kleine Molenbeek","01S04_03J","VMM","Provincie Vlaams-Brabant","","Beneden-Scheldebekken","Waak"
"289",32,"0197946042"," 4 januari 2024 07:00",NA,2,50.9771622425665,4.66408298012881,"H","Haacht/Binnenbeek/Bessemhoefweg","01S08_11H","VMM","Provincie Vlaams-Brabant","","Dijlebekken","Waak"
